<NUMBER OF ZONES> 1117
<NUMBER OF NODES> 7466
<FIRST THRU NODE> 1118
<NUMBER OF LINKS> 18710
<END OF METADATA>

~	Tail	Head	Capacity	Length	FFT	B	Power	Speed	Toll	Type	;
	909	1668	100000	475.2	0.36	0.15	4	15	0	1	;
	1668	909	100000	475.2	0.36	0.15	4	15	0	1	;
	909	1280	100000	264	0.2	0.15	4	15	0	1	;
	1280	909	100000	264	0.2	0.15	4	15	0	1	;
	913	1902	100000	369.6	0.28	0.15	4	15	0	1	;
	1902	913	100000	369.6	0.28	0.15	4	15	0	1	;
	913	1905	100000	369.6	0.28	0.15	4	15	0	1	;
	1905	913	100000	369.6	0.28	0.15	4	15	0	1	;
	913	1906	100000	316.8	0.24	0.15	4	15	0	1	;
	1906	913	100000	316.8	0.24	0.15	4	15	0	1	;
	702	1896	100000	633.6	0.48	0.15	4	15	0	1	;
	1896	702	100000	633.6	0.48	0.15	4	15	0	1	;
	702	1897	100000	211.2	0.16	0.15	4	15	0	1	;
	1897	702	100000	211.2	0.16	0.15	4	15	0	1	;
	376	2780	100000	686.4	0.52	0.15	4	15	0	1	;
	2780	376	100000	686.4	0.52	0.15	4	15	0	1	;
	405	3048	100000	316.8	0.24	0.15	4	15	0	1	;
	3048	405	100000	316.8	0.24	0.15	4	15	0	1	;
	849	3023	100000	580.8	0.44	0.15	4	15	0	1	;
	3023	849	100000	580.8	0.44	0.15	4	15	0	1	;
	849	3172	100000	264	0.2	0.15	4	15	0	1	;
	3172	849	100000	264	0.2	0.15	4	15	0	1	;
	849	3050	100000	528	0.4	0.15	4	15	0	1	;
	3050	849	100000	528	0.4	0.15	4	15	0	1	;
	379	3303	100000	475.2	0.36	0.15	4	15	0	1	;
	3303	379	100000	475.2	0.36	0.15	4	15	0	1	;
	379	3304	100000	844.8	0.64	0.15	4	15	0	1	;
	3304	379	100000	844.8	0.64	0.15	4	15	0	1	;
	377	3309	100000	1003.2	0.76	0.15	4	15	0	1	;
	3309	377	100000	1003.2	0.76	0.15	4	15	0	1	;
	382	3311	100000	580.8	0.44	0.15	4	15	0	1	;
	3311	382	100000	580.8	0.44	0.15	4	15	0	1	;
	405	3046	100000	633.6	0.48	0.15	4	15	0	1	;
	3046	405	100000	633.6	0.48	0.15	4	15	0	1	;
	405	3324	100000	844.8	0.64	0.15	4	15	0	1	;
	3324	405	100000	844.8	0.64	0.15	4	15	0	1	;
	380	3327	100000	686.4	0.52	0.15	4	15	0	1	;
	3327	380	100000	686.4	0.52	0.15	4	15	0	1	;
	406	3328	100000	633.6	0.48	0.15	4	15	0	1	;
	3328	406	100000	633.6	0.48	0.15	4	15	0	1	;
	406	3329	100000	792	0.6	0.15	4	15	0	1	;
	3329	406	100000	792	0.6	0.15	4	15	0	1	;
	406	3324	100000	369.6	0.28	0.15	4	15	0	1	;
	3324	406	100000	369.6	0.28	0.15	4	15	0	1	;
	405	3335	100000	792	0.6	0.15	4	15	0	1	;
	3335	405	100000	792	0.6	0.15	4	15	0	1	;
	380	3053	100000	475.2	0.36	0.15	4	15	0	1	;
	3053	380	100000	475.2	0.36	0.15	4	15	0	1	;
	380	3325	100000	369.6	0.28	0.15	4	15	0	1	;
	3325	380	100000	369.6	0.28	0.15	4	15	0	1	;
	380	3297	100000	528	0.4	0.15	4	15	0	1	;
	3297	380	100000	528	0.4	0.15	4	15	0	1	;
	406	3331	100000	422.4	0.32	0.15	4	15	0	1	;
	3331	406	100000	422.4	0.32	0.15	4	15	0	1	;
	381	3327	100000	422.4	0.32	0.15	4	15	0	1	;
	3327	381	100000	422.4	0.32	0.15	4	15	0	1	;
	381	3304	100000	369.6	0.28	0.15	4	15	0	1	;
	3304	381	100000	369.6	0.28	0.15	4	15	0	1	;
	381	3311	100000	369.6	0.28	0.15	4	15	0	1	;
	3311	381	100000	369.6	0.28	0.15	4	15	0	1	;
	381	3329	100000	369.6	0.28	0.15	4	15	0	1	;
	3329	381	100000	369.6	0.28	0.15	4	15	0	1	;
	378	3322	100000	369.6	0.28	0.15	4	15	0	1	;
	3322	378	100000	369.6	0.28	0.15	4	15	0	1	;
	378	3337	100000	528	0.4	0.15	4	15	0	1	;
	3337	378	100000	528	0.4	0.15	4	15	0	1	;
	377	2779	100000	1003.2	0.76	0.15	4	15	0	1	;
	2779	377	100000	1003.2	0.76	0.15	4	15	0	1	;
	378	3341	100000	422.4	0.32	0.15	4	15	0	1	;
	3341	378	100000	422.4	0.32	0.15	4	15	0	1	;
	379	3343	100000	422.4	0.32	0.15	4	15	0	1	;
	3343	379	100000	422.4	0.32	0.15	4	15	0	1	;
	379	3307	100000	580.8	0.44	0.15	4	15	0	1	;
	3307	379	100000	580.8	0.44	0.15	4	15	0	1	;
	377	2780	100000	686.4	0.52	0.15	4	15	0	1	;
	2780	377	100000	686.4	0.52	0.15	4	15	0	1	;
	382	3312	100000	369.6	0.28	0.15	4	15	0	1	;
	3312	382	100000	369.6	0.28	0.15	4	15	0	1	;
	382	3299	100000	316.8	0.24	0.15	4	15	0	1	;
	3299	382	100000	316.8	0.24	0.15	4	15	0	1	;
	382	3345	100000	528	0.4	0.15	4	15	0	1	;
	3345	382	100000	528	0.4	0.15	4	15	0	1	;
	384	3357	100000	316.8	0.24	0.15	4	15	0	1	;
	3357	384	100000	316.8	0.24	0.15	4	15	0	1	;
	383	3314	100000	633.6	0.48	0.15	4	15	0	1	;
	3314	383	100000	633.6	0.48	0.15	4	15	0	1	;
	383	3362	100000	792	0.6	0.15	4	15	0	1	;
	3362	383	100000	792	0.6	0.15	4	15	0	1	;
	383	3315	100000	316.8	0.24	0.15	4	15	0	1	;
	3315	383	100000	316.8	0.24	0.15	4	15	0	1	;
	383	3364	100000	264	0.2	0.15	4	15	0	1	;
	3364	383	100000	264	0.2	0.15	4	15	0	1	;
	360	3764	100000	1742.4	1.32	0.15	4	15	0	1	;
	3764	360	100000	1742.4	1.32	0.15	4	15	0	1	;
	359	3796	100000	1003.2	0.76	0.15	4	15	0	1	;
	3796	359	100000	1003.2	0.76	0.15	4	15	0	1	;
	376	3797	100000	739.2	0.56	0.15	4	15	0	1	;
	3797	376	100000	739.2	0.56	0.15	4	15	0	1	;
	376	2763	100000	950.4	0.72	0.15	4	15	0	1	;
	2763	376	100000	950.4	0.72	0.15	4	15	0	1	;
	362	3801	100000	1689.6	1.28	0.15	4	15	0	1	;
	3801	362	100000	1689.6	1.28	0.15	4	15	0	1	;
	362	3800	100000	2006.4	1.52	0.15	4	15	0	1	;
	3800	362	100000	2006.4	1.52	0.15	4	15	0	1	;
	362	3798	100000	2112	1.6	0.15	4	15	0	1	;
	3798	362	100000	2112	1.6	0.15	4	15	0	1	;
	361	3766	100000	792	0.6	0.15	4	15	0	1	;
	3766	361	100000	792	0.6	0.15	4	15	0	1	;
	359	3799	100000	528	0.4	0.15	4	15	0	1	;
	3799	359	100000	528	0.4	0.15	4	15	0	1	;
	359	3809	100000	1056	0.8	0.15	4	15	0	1	;
	3809	359	100000	1056	0.8	0.15	4	15	0	1	;
	359	3611	100000	475.2	0.36	0.15	4	15	0	1	;
	3611	359	100000	475.2	0.36	0.15	4	15	0	1	;
	376	3807	100000	1003.2	0.76	0.15	4	15	0	1	;
	3807	376	100000	1003.2	0.76	0.15	4	15	0	1	;
	360	3766	100000	844.8	0.64	0.15	4	15	0	1	;
	3766	360	100000	844.8	0.64	0.15	4	15	0	1	;
	360	3796	100000	1056	0.8	0.15	4	15	0	1	;
	3796	360	100000	1056	0.8	0.15	4	15	0	1	;
	360	3666	100000	369.6	0.28	0.15	4	15	0	1	;
	3666	360	100000	369.6	0.28	0.15	4	15	0	1	;
	361	3801	100000	950.4	0.72	0.15	4	15	0	1	;
	3801	361	100000	950.4	0.72	0.15	4	15	0	1	;
	149	5230	100000	2059.2	1.56	0.15	4	15	0	1	;
	5230	149	100000	2059.2	1.56	0.15	4	15	0	1	;
	149	5234	100000	2323.2	1.76	0.15	4	15	0	1	;
	5234	149	100000	2323.2	1.76	0.15	4	15	0	1	;
	149	5229	100000	2534.4	1.92	0.15	4	15	0	1	;
	5229	149	100000	2534.4	1.92	0.15	4	15	0	1	;
	149	7025	100000	1531.2	1.16	0.15	4	15	0	1	;
	7025	149	100000	1531.2	1.16	0.15	4	15	0	1	;
	436	3147	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	3147	436	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	275	3509	100000	2217.6	1.26000126	0.15	4	19.99998	0	1	;
	3509	275	100000	2217.6	1.26000126	0.15	4	19.99998	0	1	;
	275	3510	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	3510	275	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	275	3635	100000	1425.6	0.81000081	0.15	4	19.99998	0	1	;
	3635	275	100000	1425.6	0.81000081	0.15	4	19.99998	0	1	;
	275	3634	100000	2164.8	1.23000123	0.15	4	19.99998	0	1	;
	3634	275	100000	2164.8	1.23000123	0.15	4	19.99998	0	1	;
	258	4031	100000	1478.4	0.84000084	0.15	4	19.99998	0	1	;
	4031	258	100000	1478.4	0.84000084	0.15	4	19.99998	0	1	;
	258	3509	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	3509	258	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	199	1129	100000	2640	1.5000015	0.15	4	19.99998	0	1	;
	1129	199	100000	2640	1.5000015	0.15	4	19.99998	0	1	;
	203	1172	100000	2217.6	1.26000126	0.15	4	19.99998	0	1	;
	1172	203	100000	2217.6	1.26000126	0.15	4	19.99998	0	1	;
	718	1258	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	1258	718	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	708	1261	100000	1478.4	0.84000084	0.15	4	19.99998	0	1	;
	1261	708	100000	1478.4	0.84000084	0.15	4	19.99998	0	1	;
	708	1262	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	1262	708	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	912	1282	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	1282	912	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	912	1283	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	1283	912	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	587	1265	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	1265	587	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	720	1579	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	1579	720	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	720	1580	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	1580	720	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	720	1584	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	1584	720	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	720	1578	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	1578	720	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	718	1529	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	1529	718	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	718	1582	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	1582	718	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	708	1601	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	1601	708	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	903	1629	100000	1161.6	0.66000066	0.15	4	19.99998	0	1	;
	1629	903	100000	1161.6	0.66000066	0.15	4	19.99998	0	1	;
	903	1630	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	1630	903	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	903	1648	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	1648	903	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	910	1634	100000	316.8	0.18000018	0.15	4	19.99998	0	1	;
	1634	910	100000	316.8	0.18000018	0.15	4	19.99998	0	1	;
	911	1661	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	1661	911	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	908	1658	100000	158.4	0.09000009	0.15	4	19.99998	0	1	;
	1658	908	100000	158.4	0.09000009	0.15	4	19.99998	0	1	;
	909	1282	100000	211.2	0.12000012	0.15	4	19.99998	0	1	;
	1282	909	100000	211.2	0.12000012	0.15	4	19.99998	0	1	;
	919	1669	100000	369.6	0.21000021	0.15	4	19.99998	0	1	;
	1669	919	100000	369.6	0.21000021	0.15	4	19.99998	0	1	;
	911	1671	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	1671	911	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	911	1660	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	1660	911	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	708	1674	100000	1636.8	0.93000093	0.15	4	19.99998	0	1	;
	1674	708	100000	1636.8	0.93000093	0.15	4	19.99998	0	1	;
	700	1844	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	1844	700	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	840	1845	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	1845	840	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	716	1847	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	1847	716	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	907	1863	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	1863	907	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	717	1276	100000	897.6	0.51000051	0.15	4	19.99998	0	1	;
	1276	717	100000	897.6	0.51000051	0.15	4	19.99998	0	1	;
	717	1864	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	1864	717	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	717	1871	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	1871	717	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	700	1872	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	1872	700	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	700	1850	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	1850	700	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	840	1874	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	1874	840	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	840	1852	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	1852	840	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	703	1886	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	1886	703	100000	844.8	0.48000048	0.15	4	19.99998	0	1	;
	714	1887	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	1887	714	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	701	1899	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	1899	701	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	701	1900	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	1900	701	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	716	1846	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	1846	716	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	716	1907	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	1907	716	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	912	1284	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	1284	912	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	703	1911	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	1911	703	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	912	1912	100000	316.8	0.18000018	0.15	4	19.99998	0	1	;
	1912	912	100000	316.8	0.18000018	0.15	4	19.99998	0	1	;
	711	1910	100000	105.6	0.06000006	0.15	4	19.99998	0	1	;
	1910	711	100000	105.6	0.06000006	0.15	4	19.99998	0	1	;
	703	1891	100000	369.6	0.21000021	0.15	4	19.99998	0	1	;
	1891	703	100000	369.6	0.21000021	0.15	4	19.99998	0	1	;
	701	1913	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	1913	701	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	714	1914	100000	1320	0.75000075	0.15	4	19.99998	0	1	;
	1914	714	100000	1320	0.75000075	0.15	4	19.99998	0	1	;
	714	1885	100000	897.6	0.51000051	0.15	4	19.99998	0	1	;
	1885	714	100000	897.6	0.51000051	0.15	4	19.99998	0	1	;
	715	1889	100000	211.2	0.12000012	0.15	4	19.99998	0	1	;
	1889	715	100000	211.2	0.12000012	0.15	4	19.99998	0	1	;
	714	1888	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	1888	714	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	730	1919	100000	1584	0.9000009	0.15	4	19.99998	0	1	;
	1919	730	100000	1584	0.9000009	0.15	4	19.99998	0	1	;
	730	1920	100000	1425.6	0.81000081	0.15	4	19.99998	0	1	;
	1920	730	100000	1425.6	0.81000081	0.15	4	19.99998	0	1	;
	587	1915	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	1915	587	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	730	1916	100000	739.2	0.42000042	0.15	4	19.99998	0	1	;
	1916	730	100000	739.2	0.42000042	0.15	4	19.99998	0	1	;
	371	2759	100000	1478.4	0.84000084	0.15	4	19.99998	0	1	;
	2759	371	100000	1478.4	0.84000084	0.15	4	19.99998	0	1	;
	374	2762	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	2762	374	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	385	2763	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	2763	385	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	494	2851	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	2851	494	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	494	2852	100000	1584	0.9000009	0.15	4	19.99998	0	1	;
	2852	494	100000	1584	0.9000009	0.15	4	19.99998	0	1	;
	419	2874	100000	2059.2	1.17000117	0.15	4	19.99998	0	1	;
	2874	419	100000	2059.2	1.17000117	0.15	4	19.99998	0	1	;
	479	3009	100000	2428.8	1.38000138	0.15	4	19.99998	0	1	;
	3009	479	100000	2428.8	1.38000138	0.15	4	19.99998	0	1	;
	476	3012	100000	897.6	0.51000051	0.15	4	19.99998	0	1	;
	3012	476	100000	897.6	0.51000051	0.15	4	19.99998	0	1	;
	478	3015	100000	2587.2	1.47000147	0.15	4	19.99998	0	1	;
	3015	478	100000	2587.2	1.47000147	0.15	4	19.99998	0	1	;
	471	3016	100000	1689.6	0.96000096	0.15	4	19.99998	0	1	;
	3016	471	100000	1689.6	0.96000096	0.15	4	19.99998	0	1	;
	471	3017	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	3017	471	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	439	3022	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	3022	439	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	481	3027	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	3027	481	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	477	3013	100000	2428.8	1.38000138	0.15	4	19.99998	0	1	;
	3013	477	100000	2428.8	1.38000138	0.15	4	19.99998	0	1	;
	454	3018	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	3018	454	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	454	3034	100000	1795.2	1.02000102	0.15	4	19.99998	0	1	;
	3034	454	100000	1795.2	1.02000102	0.15	4	19.99998	0	1	;
	455	3040	100000	1425.6	0.81000081	0.15	4	19.99998	0	1	;
	3040	455	100000	1425.6	0.81000081	0.15	4	19.99998	0	1	;
	455	3041	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	3041	455	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	474	3068	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	3068	474	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	474	3072	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	3072	474	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	474	3073	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	3073	474	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	475	3075	100000	2006.4	1.14000114	0.15	4	19.99998	0	1	;
	3075	475	100000	2006.4	1.14000114	0.15	4	19.99998	0	1	;
	479	3087	100000	1953.6	1.11000111	0.15	4	19.99998	0	1	;
	3087	479	100000	1953.6	1.11000111	0.15	4	19.99998	0	1	;
	474	3099	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	3099	474	100000	1108.8	0.63000063	0.15	4	19.99998	0	1	;
	480	3083	100000	1372.8	0.78000078	0.15	4	19.99998	0	1	;
	3083	480	100000	1372.8	0.78000078	0.15	4	19.99998	0	1	;
	480	3082	100000	1795.2	1.02000102	0.15	4	19.99998	0	1	;
	3082	480	100000	1795.2	1.02000102	0.15	4	19.99998	0	1	;
	480	3079	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	3079	480	100000	1267.2	0.72000072	0.15	4	19.99998	0	1	;
	479	3115	100000	1848	1.05000105	0.15	4	19.99998	0	1	;
	3115	479	100000	1848	1.05000105	0.15	4	19.99998	0	1	;
	476	3007	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	3007	476	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	476	3118	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	3118	476	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	478	3116	100000	739.2	0.42000042	0.15	4	19.99998	0	1	;
	3116	478	100000	739.2	0.42000042	0.15	4	19.99998	0	1	;
	475	3119	100000	1320	0.75000075	0.15	4	19.99998	0	1	;
	3119	475	100000	1320	0.75000075	0.15	4	19.99998	0	1	;
	475	3084	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	3084	475	100000	950.4	0.54000054	0.15	4	19.99998	0	1	;
	479	3010	100000	2059.2	1.17000117	0.15	4	19.99998	0	1	;
	3010	479	100000	2059.2	1.17000117	0.15	4	19.99998	0	1	;
	478	3121	100000	1320	0.75000075	0.15	4	19.99998	0	1	;
	3121	478	100000	1320	0.75000075	0.15	4	19.99998	0	1	;
	476	3122	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	3122	476	100000	1003.2	0.57000057	0.15	4	19.99998	0	1	;
	478	3033	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	3033	478	100000	580.8	0.33000033	0.15	4	19.99998	0	1	;
	451	3124	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	3124	451	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	451	3125	100000	1742.4	0.99000099	0.15	4	19.99998	0	1	;
	3125	451	100000	1742.4	0.99000099	0.15	4	19.99998	0	1	;
	438	3131	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	3131	438	100000	633.6	0.36000036	0.15	4	19.99998	0	1	;
	402	3126	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	3126	402	100000	475.2	0.27000027	0.15	4	19.99998	0	1	;
	470	3138	100000	1372.8	0.78000078	0.15	4	19.99998	0	1	;
	3138	470	100000	1372.8	0.78000078	0.15	4	19.99998	0	1	;
	470	3139	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	3139	470	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	470	3141	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	3141	470	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	451	1779	100000	1900.8	1.08000108	0.15	4	19.99998	0	1	;
	1779	451	100000	1900.8	1.08000108	0.15	4	19.99998	0	1	;
	452	3137	100000	2059.2	1.17000117	0.15	4	19.99998	0	1	;
	3137	452	100000	2059.2	1.17000117	0.15	4	19.99998	0	1	;
	452	3154	100000	2745.6	1.56000156	0.15	4	19.99998	0	1	;
	3154	452	100000	2745.6	1.56000156	0.15	4	19.99998	0	1	;
	452	3155	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	3155	452	100000	1531.2	0.87000087	0.15	4	19.99998	0	1	;
	453	3155	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	3155	453	100000	1214.4	0.69000069	0.15	4	19.99998	0	1	;
	453	3020	100000	2587.2	1.47000147	0.15	4	19.99998	0	1	;
	3020	453	100000	2587.2	1.47000147	0.15	4	19.99998	0	1	;
	471	3058	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	3058	471	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	453	3012	100000	2323.2	1.32000132	0.15	4	19.99998	0	1	;
	3012	453	100000	2323.2	1.32000132	0.15	4	19.99998	0	1	;
	453	3018	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	3018	453	100000	792	0.45000045	0.15	4	19.99998	0	1	;
	438	3137	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	3137	438	100000	528	0.3000003	0.15	4	19.99998	0	1	;
	439	3020	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	3020	439	100000	686.4	0.39000039	0.15	4	19.99998	0	1	;
	439	3132	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	3132	439	100000	422.4	0.24000024	0.15	4	19.99998	0	1	;
	371	3160	100000	2692.8	1.53000153	0.15	4	19.99998	0	1	;
	3160	371	100000	2692.8	1.53000153	0.15	4	19.99998	0	1	;
